City_ID,City,Country,Date,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed
0,Marawi,PH,2021-07-21 15:15:15,7.9986,124.2928,69.37,88,100,5.91
1,Teguldet,RU,2021-07-21 15:15:16,57.3064,88.1667,62.44,73,56,2.59
2,Klaksvik,FO,2021-07-21 15:15:16,62.2266,-6.589,54.52,89,7,11.65
3,Reoti,IN,2021-07-21 15:15:17,25.85,84.3833,88.03,72,99,2.35
4,Davila,PH,2021-07-21 15:15:17,18.4726,120.5763,80.28,86,99,23.76
5,Koslan,RU,2021-07-21 15:15:18,63.4564,48.8989,60.84,44,65,10.54
6,Cape Town,ZA,2021-07-21 15:13:42,-33.9258,18.4232,53.35,74,99,3.0
7,La Ronge,CA,2021-07-21 15:15:19,55.1001,-105.2842,64.65,88,74,6.91
8,Kijang,KR,2021-07-21 15:15:19,35.2442,129.2139,76.39,89,100,10.49
9,Tuktoyaktuk,CA,2021-07-21 15:15:20,69.4541,-133.0374,60.76,67,4,7.65
10,Arraial Do Cabo,BR,2021-07-21 15:15:20,-22.9661,-42.0278,71.46,60,20,10.36
11,Kapaa,US,2021-07-21 15:15:20,22.0752,-159.319,77.32,84,40,3.0
12,Punta Arenas,CL,2021-07-21 15:11:22,-53.15,-70.9167,37.51,87,90,16.11
13,Busselton,AU,2021-07-21 15:15:21,-33.65,115.3333,51.04,82,89,9.04
14,Vaini,TO,2021-07-21 15:15:22,-21.2,-175.2,73.56,88,20,6.91
15,Teruel,ES,2021-07-21 15:15:22,40.6667,-0.6667,89.08,24,45,10.85
16,Bluff,NZ,2021-07-21 15:15:23,-46.6,168.3333,44.8,85,100,11.77
17,East London,ZA,2021-07-21 15:15:23,-33.0153,27.9116,63.54,19,0,16.11
18,College,US,2021-07-21 15:15:24,64.8569,-147.8028,61.59,79,75,0.0
19,Yellowknife,CA,2021-07-21 15:15:07,62.456,-114.3525,67.28,72,86,5.99
20,Qui Nhon,VN,2021-07-21 15:15:25,13.7667,109.2333,83.97,69,100,18.3
21,Aklavik,CA,2021-07-21 15:15:25,68.2191,-135.0107,74.12,68,40,3.44
22,Sioux Lookout,CA,2021-07-21 15:15:26,50.1001,-91.917,66.27,48,90,8.05
23,Castro,BR,2021-07-21 15:15:26,-24.7911,-50.0119,62.53,38,6,2.04
24,Hamilton,US,2021-07-21 15:15:27,39.1834,-84.5333,76.98,85,90,1.01
25,Broken Hill,AU,2021-07-21 15:15:27,-31.95,141.4333,43.59,56,100,9.62
26,Hithadhoo,MV,2021-07-21 15:15:28,-0.6,73.0833,82.71,75,100,15.5
27,Waingapu,ID,2021-07-21 15:15:28,-9.6567,120.2641,73.63,75,9,5.28
28,Hilo,US,2021-07-21 15:15:29,19.7297,-155.09,72.81,93,90,4.61
29,Acajutla,SV,2021-07-21 15:15:29,13.5928,-89.8275,88.81,56,3,0.81
30,Albany,US,2021-07-21 15:15:17,42.6001,-73.9662,75.72,75,46,1.01
31,Port Alfred,ZA,2021-07-21 15:15:30,-33.5906,26.891,63.07,30,3,24.76
32,Butaritari,KI,2021-07-21 15:15:30,3.0707,172.7902,81.75,78,87,9.69
33,Arman,RU,2021-07-21 15:15:31,59.7,150.1667,53.33,94,100,4.47
34,Belmonte,BR,2021-07-21 15:15:32,-15.8631,-38.8828,73.9,70,82,13.91
35,Esperance,AU,2021-07-21 15:11:00,-33.8667,121.9,53.44,78,88,24.63
36,Saint George,US,2021-07-21 15:12:55,37.1041,-113.5841,88.63,42,1,1.99
37,Ponta Do Sol,PT,2021-07-21 15:15:33,32.6667,-17.1,77.72,73,0,2.48
38,Mataura,NZ,2021-07-21 15:15:33,-46.1927,168.8643,44.47,99,100,1.01
39,Rikitea,PF,2021-07-21 15:15:34,-23.1203,-134.9692,71.38,66,74,19.51
40,Awbari,LY,2021-07-21 15:15:35,26.5921,12.7805,101.34,13,0,12.08
41,Berlevag,NO,2021-07-21 15:15:35,70.8578,29.0864,48.15,71,75,20.71
42,Hervey Bay,AU,2021-07-21 15:15:36,-25.2986,152.8535,49.01,60,38,1.01
43,Carolina,PR,2021-07-21 15:15:02,18.3808,-65.9574,88.75,67,40,19.57
44,Puerto Ayora,EC,2021-07-21 15:15:36,-0.7393,-90.3518,78.76,94,100,8.01
45,Iqaluit,CA,2021-07-21 15:13:31,63.7506,-68.5145,41.7,86,84,5.01
46,Kabompo,ZM,2021-07-21 15:15:37,-13.5927,24.2008,82.13,16,1,4.92
47,Quzhou,CN,2021-07-21 15:15:38,28.9594,118.8686,74.19,80,17,6.31
48,Guerrero Negro,MX,2021-07-21 15:15:38,27.9769,-114.0611,71.1,81,100,13.02
49,Hobart,AU,2021-07-21 15:15:39,-42.8794,147.3294,49.01,77,68,5.99
50,Hermanus,ZA,2021-07-21 15:15:39,-34.4187,19.2345,49.89,66,100,25.1
51,Gizo,SB,2021-07-21 15:15:39,-8.103,156.8419,80.64,79,21,7.94
